# Time-averaged data for fix rot
# TimeStep c_rmatrix[1] c_rmatrix[2] c_rmatrix[3] c_rmatrix[4] c_rmatrix[5] c_rmatrix[6] c_rmatrix[7] c_rmatrix[8] c_rmatrix[9]
600000 0.779413 -0.299091 -0.550509 0.555257 0.73675 0.385861 0.29018 -0.606419 0.740305
610000 0.741113 -0.284394 -0.608171 0.593806 0.700351 0.39611 0.313282 -0.654697 0.687914
620000 0.697365 -0.267606 -0.664883 0.63389 0.663202 0.397928 0.334464 -0.698964 0.632126
630000 0.648982 -0.249039 -0.718889 0.673819 0.626887 0.391127 0.353256 -0.738236 0.574646
640000 0.597232 -0.229181 -0.768629 0.71193 0.592853 0.376407 0.369418 -0.772012 0.517231
650000 0.785929 -0.584785 0.200854 0.405456 0.732667 0.54663 -0.46682 -0.348174 0.812929
660000 0.78044 -0.580702 0.23173 0.595723 0.578132 -0.557564 0.189808 0.573192 0.797134
670000 0.87071 0.231222 -0.434051 -0.445795 0.743781 -0.498053 0.207678 0.627158 0.750695
680000 0.843359 0.223958 -0.488454 -0.488096 0.699457 -0.522036 0.224738 0.678677 0.699207
690000 0.810222 0.215159 -0.545204 -0.534514 0.652896 -0.536677 0.240491 0.726247 0.643995
700000 0.771117 0.204774 -0.602865 -0.58359 0.605897 -0.540659 0.254561 0.768737 0.586722
710000 0.726321 0.192878 -0.659739 -0.0149253 0.964021 0.265405 0.687194 -0.182923 0.703068
720000 0.676628 0.179682 -0.714065 0.0234395 0.964021 0.26479 0.735952 -0.195902 0.648072
730000 0.663199 -0.493466 0.562724 0.640529 0.763139 -0.0856822 -0.387155 0.417266 0.822192
740000 0.629258 -0.468211 0.620332 0.64985 0.754773 -0.0895165 -0.426297 0.459452 0.779214
750000 0.590747 -0.439557 0.676615 0.65981 0.745835 -0.0915497 -0.464402 0.50052 0.730624
760000 0.548455 -0.408089 0.729836 0.669998 0.736694 -0.0915655 -0.500299 0.539209 0.677462
770000 0.50354 -0.374668 0.778506 0.679967 0.727752 -0.0895622 -0.533003 0.574457 0.621214
780000 0.827053 0.425859 0.366916 -0.515548 0.834803 0.19317 -0.224039 -0.348925 0.909977
790000 0.808238 0.416171 0.416598 -0.531829 0.819624 0.213012 -0.252804 -0.393723 0.883783
800000 0.784764 0.404084 0.46996 -0.551375 0.801468 0.231592 -0.283075 -0.440869 0.851765
810000 0.756095 0.389322 0.526069 -0.574135 0.780417 0.247624 -0.314148 -0.489262 0.813593
820000 0.721952 0.371742 0.583604 -0.599716 0.756874 0.259773 -0.345146 -0.537541 0.769366
830000 0.682436 0.351395 0.640939 -0.627349 0.73158 0.266878 -0.375118 -0.58422 0.719704
840000 0.638119 0.328575 0.696306 -0.65595 0.705549 0.268198 -0.403155 -0.627884 0.665753
850000 0.590036 0.303816 0.748033 -0.684273 0.679919 0.263591 -0.428519 -0.667387 0.60907
860000 0.696698 0.695593 -0.175393 -0.537667 0.668186 0.514239 0.474896 -0.263966 0.839521
870000 0.692979 0.69188 -0.20269 -0.493812 0.660342 0.565772 0.525291 -0.291977 0.799261
880000 0.854947 -0.304643 0.419832 0.466758 0.804891 -0.366453 -0.226282 0.509257 0.830333
890000 0.829746 -0.295663 0.473397 0.499177 0.772537 -0.392438 -0.249687 0.561933 0.788598
900000 0.799014 -0.284713 0.529638 0.535961 0.736542 -0.412617 -0.272623 0.613551 0.741102
910000 0.762474 -0.271692 0.587211 0.576172 0.698038 -0.42517 -0.29438 0.662515 0.688777
920000 0.720266 -0.256652 0.644474 0.618392 0.658533 -0.428865 -0.314339 0.707434 0.633031
930000 0.673024 -0.239819 0.699661 0.660892 0.619694 -0.423322 -0.332055 0.747306 0.575563
940000 0.621875 -0.221593 0.751111 0.701894 0.583075 -0.409107 -0.347299 0.781614 0.518134
950000 0.568312 -0.202507 0.797504 -0.0198223 0.96559 0.259314 -0.822574 -0.16318 0.544742
960000 0.80192 -0.554066 -0.223461 0.570333 0.598609 0.562483 -0.177887 -0.578514 0.796039
970000 0.795006 -0.549289 -0.257386 0.574546 0.545742 0.609969 -0.194583 -0.632809 0.74946
980000 0.858677 0.211739 0.466734 -0.46729 0.697488 0.543277 -0.210508 -0.6846 0.697861
990000 0.827715 0.204105 0.522714 -0.513978 0.649585 0.560238 -0.2252 -0.73238 0.642576
1000000 0.790781 0.194997 0.580208 -0.563802 0.601094 0.566404 -0.238312 -0.775024 0.585273
