# Time-averaged data for fix rot
# TimeStep c_rmatrix[1] c_rmatrix[2] c_rmatrix[3] c_rmatrix[4] c_rmatrix[5] c_rmatrix[6] c_rmatrix[7] c_rmatrix[8] c_rmatrix[9]
23600000 0.869773 -0.28779 -0.400839 0.445391 0.807543 0.386655 0.212419 -0.514832 0.830558
24000000 0.817457 -0.27048 -0.508531 0.515995 0.736217 0.437874 0.255953 -0.620343 0.741392
24400000 0.742345 -0.245627 -0.623371 0.601504 0.654164 0.458544 0.295156 -0.715358 0.633361
24800000 0.646258 -0.213834 -0.732547 0.0143536 0.963175 -0.268492 0.762984 0.163 0.625529
25200000 0.821992 -0.52737 0.214964 0.544567 0.617399 -0.567684 0.166661 0.583695 0.794685
25600000 0.80681 -0.517629 0.284812 0.556968 0.505569 -0.658928 0.197089 0.690261 0.696201
26000000 0.809359 0.185323 -0.55731 -0.543344 0.596518 -0.590715 0.222972 0.780911 0.583491
26400000 0.740161 -0.474869 0.47609 0.596744 0.790202 -0.139562 -0.309934 0.387402 0.868251
26800000 0.679549 -0.435982 0.590028 0.62661 0.763203 -0.157737 -0.381541 0.476907 0.791825
27200000 0.599191 -0.384426 0.702272 0.661793 0.731474 -0.164242 -0.450555 0.563172 0.692704
27600000 0.505425 -0.324268 0.799622 0.696745 0.700036 -0.156515 -0.509011 0.636239 0.579747
28000000 0.823297 0.365531 0.434245 -0.509335 0.813411 0.280965 -0.250518 -0.452494 0.855856
28400000 0.766057 0.340117 0.545415 -0.565171 0.760591 0.319505 -0.306169 -0.553012 0.77488
28800000 0.686677 0.304874 0.659944 -0.63238 0.69828 0.335413 -0.358567 -0.647655 0.672289
29200000 0.589243 0.261614 0.764429 -0.700919 0.636122 0.322585 -0.401877 -0.725883 0.558201
29600000 0.883379 -0.271415 0.382067 0.42416 0.809739 -0.405476 -0.199322 0.520247 0.83043
30000000 0.834712 -0.256462 0.487323 0.495563 0.735744 -0.461627 -0.240155 0.626824 0.741227
30400000 0.7635 -0.234583 0.601697 0.583425 0.650048 -0.486881 -0.276918 0.722778 0.633173
30800000 0.670242 -0.20593 0.712999 0.0117675 0.96356 0.267235 -0.742049 -0.170722 0.648242
31200000 0.840617 -0.500798 -0.206312 0.518649 0.634489 0.573085 -0.156097 -0.588748 0.793101
31600000 0.826284 -0.49226 -0.273744 0.532197 0.523165 0.665631 -0.18445 -0.695686 0.694262
32000000 0.826809 0.175797 0.534305 -0.522407 0.592127 0.613577 -0.208511 -0.786436 0.581414
32400000 0.762643 -0.454345 -0.460376 0.577121 0.799372 0.167138 0.292074 -0.393159 0.871848
32800000 0.703788 -0.419283 -0.573484 0.612248 0.767428 0.190282 0.360326 -0.485033 0.796811
33200000 0.624417 -0.371997 -0.68682 0.654327 0.729323 0.199858 0.426567 -0.5742 0.69881
33600000 0.530041 -0.315773 -0.786984 0.696905 0.690948 0.192133 0.483095 -0.650291 0.586294
34000000 0.840664 0.346583 -0.41613 -0.487685 0.818589 -0.30344 0.235472 0.458031 0.857182
34400000 0.78654 0.324269 -0.525551 -0.546269 0.762244 -0.347237 0.288 0.560208 0.776674
34800000 0.710045 0.292732 -0.640425 -0.617961 0.695068 -0.36743 0.33758 0.656649 0.674426
35200000 0.61403 0.253148 -0.747585 -0.692517 0.627207 -0.356415 0.378665 0.736565 0.560433
35600000 0.762951 0.609901 0.214307 -0.409169 0.712251 -0.570333 -0.500487 0.347448 0.792964
36000000 0.850763 -0.242724 -0.466141 0.474852 0.735097 0.483889 0.225207 -0.633023 0.740651
36400000 0.783644 -0.223575 -0.579583 0.56436 0.646139 0.513812 0.259616 -0.729739 0.632519
36800000 0.69369 -0.197911 -0.69255 0.00909963 0.963841 -0.266323 0.720216 0.178444 0.670408
37200000 0.631349 0.504699 0.588793 -0.653584 0.754946 0.053702 -0.417404 -0.418731 0.806498
37600000 0.55695 0.445224 0.701129 -0.665742 0.744051 0.0563602 -0.496583 -0.498161 0.710803
38000000 0.470015 0.375728 0.798696 -0.677998 0.733068 0.0541311 -0.56516 -0.566956 0.599296
38400000 0.783987 -0.433701 0.444148 0.556517 0.808036 -0.193304 -0.275052 0.398724 0.874852
38800000 0.727231 -0.402304 0.556135 0.596302 0.771565 -0.221611 -0.339939 0.492787 0.801001
39200000 0.649347 -0.359219 0.670306 0.644754 0.72745 -0.234752 -0.403287 0.584618 0.703975
39600000 0.554899 -0.30697 0.773212 0.694699 0.682319 -0.227669 -0.45769 0.663483 0.59187
40000000 0.856749 0.327986 0.398004 -0.465879 0.823212 0.324468 -0.221221 -0.463409 0.858087
