# Time-correlated data for fix ave2
# Time v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz v_pxxyy*v_pxxyy v_pxxzz*v_pxxzz v_pyyzz*v_pyyzz
# Timestep: 9363456
51200 36.4291 40.5266 27.1044 136.764 165.273 129.408 
56320 34.2333 40.002 24.3869 129.976 149.657 120.338 
61440 32.0747 34.1729 20.8038 131.508 144.775 118.912 
66560 32.0265 31.9776 21.0059 129.515 141.862 106.173 
71680 29.4526 31.2634 19.7801 134.331 143.408 110.78 
76800 22.9981 28.6085 21.4917 114.065 125.764 110.061 
81920 23.9324 27.1578 21.9696 109.932 129.165 95.2921 
92160 23.1701 28.4067 19.2267 93.0507 120.473 81.6698 
102400 22.1978 26.6121 20.3396 94.4916 119.158 74.8726 
112640 18.4486 25.2162 18.5789 82.7232 108.948 55.5787 
122880 13.255 23.5808 20.5607 73.3095 106.738 58.9828 
133120 12.3755 23.0244 17.9348 78.8084 108.232 49.4205 
143360 13.725 22.1438 17.6409 67.5932 103.181 37.6818 
153600 11.2304 19.8576 15.9101 62.8391 91.3852 40.6572 
163840 11.3366 19.1398 15.6828 57.2688 89.4516 48.0636 
184320 11.1209 21.1903 15.5697 55.0557 70.3959 55.9183 
204800 10.1332 17.9657 12.792 46.5452 56.2198 46.1651 
225280 9.3784 12.4013 9.86546 54.5307 62.1555 41.0967 
245760 10.4334 9.07022 10.5884 65.2095 64.7985 54.851 
266240 10.5982 8.57443 11.3432 45.5488 59.8993 54.0533 
286720 5.99833 7.6099 9.06874 40.2523 55.6058 49.4542 
307200 8.05848 9.58019 2.24059 33.8526 53.1557 49.81 
327680 10.4953 7.84565 3.26288 29.4953 49.9302 43.6656 
368640 10.2154 5.56054 5.92926 30.5312 45.6362 44.496 
409600 4.95506 7.55397 5.86541 22.715 42.9387 35.3988 
450560 4.8707 5.44714 2.78733 21.8094 27.0345 26.6978 
491520 4.17328 2.47666 -0.288173 31.4929 35.1263 20.628 
532480 3.34252 2.30474 2.04836 42.2489 32.6082 21.4722 
573440 1.45183 2.60427 4.02013 29.7615 27.4925 -8.07563 
614400 4.70475 0.0478158 0.862476 29.2891 37.5185 5.41076 
655360 2.75339 -3.50175 0.108948 25.7391 43.6398 8.90245 
737280 -0.296779 -0.421763 -1.07148 27.133 35.674 18.1443 
819200 -1.18076 3.09012 1.11222 32.6377 26.9483 6.02354 
901120 2.89626 3.84398 2.11568 31.9915 29.9518 -5.99159 
983040 -2.60565 -2.15385 -1.62996 30.2287 28.5399 -7.65297 
1.06496e+06 0.152715 -4.18002 1.57147 22.4499 13.4808 -13.4177 
1.14688e+06 6.18383 -6.19163 3.63576 18.6524 9.85405 -8.27294 
1.2288e+06 5.55714 -1.74261 0.658002 17.5072 8.45259 -13.1475 
1.31072e+06 2.49564 -0.599214 2.08492 20.3466 3.73741 -11.7709 
1.47456e+06 2.6989 -3.95617 -0.541931 13.2323 -4.78713 7.59659 
1.6384e+06 0.701911 -8.5137 0.592778 6.27489 -6.01273 -4.57403 
1.80224e+06 0.486964 -9.14061 -0.0339184 -1.35049 21.6277 13.611 
1.96608e+06 -0.114153 -5.37771 4.77572 13.5333 9.31885 0.554116 
2.12992e+06 -0.587066 -6.41206 6.56017 16.8032 12.921 0.69301 
2.29376e+06 -3.38121 -2.76946 -0.391433 11.1858 23.8978 22.9199 
2.4576e+06 -0.948459 -3.92749 1.63242 14.6999 39.697 23.7147 
2.62144e+06 -2.84879 -3.92789 1.12214 7.77631 41.4539 17.1096 
2.94912e+06 -6.09853 2.3077 1.53149 7.42122 12.8476 13.6175 
3.2768e+06 -4.68281 0.294707 -1.10254 19.281 15.4885 8.6523 
3.60448e+06 -5.40007 2.36713 -3.67524 3.02491 11.9965 -6.21124 
3.93216e+06 -1.72974 -0.555827 -3.1841 3.69771 20.1263 -6.93445 
4.25984e+06 -5.22488 -3.31303 -1.93705 -0.490533 6.77634 -0.365532 
4.58752e+06 -5.3455 -0.367611 -0.160921 -0.724938 8.70576 -0.345935 
4.9152e+06 -6.09796 5.64607 3.83132 -6.71109 8.359 16.7854 
5.24288e+06 -0.123184 3.52409 -1.8136 -13.3081 -11.6368 7.52145 
5.89824e+06 2.64734 4.10117 -6.55888 -24.6705 -10.6885 -28.0635 
6.5536e+06 1.93932 -0.991444 2.15389 -34.9189 5.04395 -6.49636 
